,121201,Acapulco,folder_id
0,10101,Aguascalientes,data20220811
1,292902,Apizaco,data20220811
2,40401,Campeche,data20220811
3,232301,Cancún,data20220811
4,80801,Chihuahua,data20220811
5,150901,Ciudad de México y área metropolitana,data20220811
6,80802,Ciudad Juárez,data20220811
7,171701,Cuernavaca,data20220811
8,252501,Culiacán,data20220811
9,101001,Durango,data20220811
10,141401,Guadalajara,data20220811
11,262601,Hermosillo,data20220811
12,30301,La Paz,data20220811
13,111101,León,data20220811
14,313101,Mérida,data20220811
15,191901,Monterrey,data20220811
16,161601,Morelia,data20220811
17,202001,Oaxaca,data20220811
18,303004,Orizaba,data20220811
19,131301,Pachuca,data20220811
20,232303,Playa del carmen,data20220811
21,212101,Puebla,data20220811
22,222201,Querétaro,data20220811
23,50501,Saltillo,data20220811
24,242401,San Luis Potosí,data20220811
25,282804,Tampico,data20220811
26,20201,Tijuana,data20220811
27,292901,Tlaxcala,data20220811
28,151501,Toluca,data20220811
29,70701,Tuxtla Gutiérrez,data20220811
30,303001,Veracruz,data20220811
31,272701,Villahermosa,data20220811
32,323201,Zacatecas,data20220811
