,# codigo,descripcion,tipo_arbol,folder_id
0,# ALIMENTOS,,Profeco_010101_arbol,data20220622
1,"# ACEITES, GRASAS Y VINAGRES",,Profeco_010101_arbol,data20220622
2,# ACEITES Y GRASAS,,Profeco_010101_arbol,data20220622
3,0166,ACEITE,Profeco_010101_arbol,data20220622
4,9000,ACEITE DE OLIVA,Profeco_010101_arbol,data20220622
5,9002,ALCAPARRA,Profeco_010101_arbol,data20220622
6,0170,GRASA COMESTIBLE,Profeco_010101_arbol,data20220622
7,0172,MANTECA DE CERDO,Profeco_010101_arbol,data20220622
8,0147,MANTEQUILLA,Profeco_010101_arbol,data20220622
9,0171,MARGARINA,Profeco_010101_arbol,data20220622
10,# VINAGRES,,Profeco_010101_arbol,data20220622
11,0983,VINAGRE,Profeco_010101_arbol,data20220622
12,# ALIMENTOS EN LATA Y PROCESADOS,,Profeco_010101_arbol,data20220622
13,# ALIMENTOS EN LATA Y PROCESADOS,,Profeco_010101_arbol,data20220622
14,9001,ACEITUNA,Profeco_010101_arbol,data20220622
15,0935,ALIMENTO PREPARADO PARA NIÑOS,Profeco_010101_arbol,data20220622
16,0136,ATUN,Profeco_010101_arbol,data20220622
17,0917,CHICHAROS EN LATA,Profeco_010101_arbol,data20220622
18,0915,CHILES,Profeco_010101_arbol,data20220622
19,0956,COCTEL DE FRUTAS EN ALMIBAR,Profeco_010101_arbol,data20220622
20,0970,CONCENTRADO DE POLLO,Profeco_010101_arbol,data20220622
21,0864,ELOTE,Profeco_010101_arbol,data20220622
22,0931,FRIJOLES,Profeco_010101_arbol,data20220622
23,0971,MAYONESA,Profeco_010101_arbol,data20220622
24,0972,MOLE ROJO EN PASTA,Profeco_010101_arbol,data20220622
25,0973,MOSTAZA,Profeco_010101_arbol,data20220622
26,0013,PAPAS FRITAS Y SIMILARES,Profeco_010101_arbol,data20220622
27,0014,PASTA PARA SOPA,Profeco_010101_arbol,data20220622
28,0952,PIÑA EN ALMIBAR,Profeco_010101_arbol,data20220622
29,0916,PURE DE TOMATE,Profeco_010101_arbol,data20220622
30,0976,SALSA INGLESA,Profeco_010101_arbol,data20220622
31,0977,SALSA PICANTE,Profeco_010101_arbol,data20220622
32,0137,SARDINA,Profeco_010101_arbol,data20220622
33,0303,SOPA INSTANTANEA,Profeco_010101_arbol,data20220622
34,"# AZUCAR, ENDULZANTES Y CAFE",,Profeco_010101_arbol,data20220622
35,"# AZUCAR, ENDULZANTES Y CAFE",,Profeco_010101_arbol,data20220622
36,0960,AZUCAR,Profeco_010101_arbol,data20220622
37,0962,CAFE TOSTADO Y MOLIDO,Profeco_010101_arbol,data20220622
38,0991,CHOCOLATE EN TABLILLAS,Profeco_010101_arbol,data20220622
39,0950,MERMELADA,Profeco_010101_arbol,data20220622
40,0996,MIEL DE ABEJA,Profeco_010101_arbol,data20220622
41,0990,POLVO PARA BEBIDAS SABOR CHOCOLATE,Profeco_010101_arbol,data20220622
