,121201,Acapulco,folder_id
0,10101,Aguascalientes,data20220818
1,292902,Apizaco,data20220818
2,40401,Campeche,data20220818
3,232301,Cancún,data20220818
4,80801,Chihuahua,data20220818
5,150901,Ciudad de México y área metropolitana,data20220818
6,80802,Ciudad Juárez,data20220818
7,171701,Cuernavaca,data20220818
8,252501,Culiacán,data20220818
9,101001,Durango,data20220818
10,141401,Guadalajara,data20220818
11,262601,Hermosillo,data20220818
12,30301,La Paz,data20220818
13,111101,León,data20220818
14,313101,Mérida,data20220818
15,191901,Monterrey,data20220818
16,161601,Morelia,data20220818
17,202001,Oaxaca,data20220818
18,303004,Orizaba,data20220818
19,131301,Pachuca,data20220818
20,232303,Playa del carmen,data20220818
21,212101,Puebla,data20220818
22,222201,Querétaro,data20220818
23,50501,Saltillo,data20220818
24,242401,San Luis Potosí,data20220818
25,282804,Tampico,data20220818
26,20201,Tijuana,data20220818
27,292901,Tlaxcala,data20220818
28,151501,Toluca,data20220818
29,70701,Tuxtla Gutiérrez,data20220818
30,303001,Veracruz,data20220818
31,272701,Villahermosa,data20220818
32,323201,Zacatecas,data20220818
