,121201,Acapulco,folder_id
0,10101,Aguascalientes,data20220615
1,292902,Apizaco,data20220615
2,40401,Campeche,data20220615
3,232301,Cancún,data20220615
4,80801,Chihuahua,data20220615
5,150901,Ciudad de México y área metropolitana,data20220615
6,80802,Ciudad Juárez,data20220615
7,171701,Cuernavaca,data20220615
8,252501,Culiacán,data20220615
9,101001,Durango,data20220615
10,141401,Guadalajara,data20220615
11,262601,Hermosillo,data20220615
12,30301,La Paz,data20220615
13,111101,León,data20220615
14,313101,Mérida,data20220615
15,191901,Monterrey,data20220615
16,161601,Morelia,data20220615
17,202001,Oaxaca,data20220615
18,303004,Orizaba,data20220615
19,131301,Pachuca,data20220615
20,232303,Playa del carmen,data20220615
21,212101,Puebla,data20220615
22,222201,Querétaro,data20220615
23,50501,Saltillo,data20220615
24,242401,San Luis Potosí,data20220615
25,282804,Tampico,data20220615
26,20201,Tijuana,data20220615
27,292901,Tlaxcala,data20220615
28,151501,Toluca,data20220615
29,70701,Tuxtla Gutiérrez,data20220615
30,303001,Veracruz,data20220615
31,272701,Villahermosa,data20220615
32,323201,Zacatecas,data20220615
