,# codigo,descripcion,tipo_arbol,folder_id
90,0850,ACELGA,Profeco_010101_arbol,data20220712
91,0800,AGUACATE,Profeco_010101_arbol,data20220712
92,0851,AJO,Profeco_010101_arbol,data20220712
93,0853,APIO,Profeco_010101_arbol,data20220712
94,0854,BETABEL,Profeco_010101_arbol,data20220712
95,0855,BROCOLI,Profeco_010101_arbol,data20220712
96,0856,CALABAZA,Profeco_010101_arbol,data20220712
97,0857,CEBOLLA,Profeco_010101_arbol,data20220712
98,0858,CHAYOTE,Profeco_010101_arbol,data20220712
99,0859,CHICHAROS,Profeco_010101_arbol,data20220712
100,0860,CHILE FRESCO,Profeco_010101_arbol,data20220712
101,0868,CILANTRO,Profeco_010101_arbol,data20220712
102,0802,CIRUELA,Profeco_010101_arbol,data20220712
103,0861,COL,Profeco_010101_arbol,data20220712
104,0862,COLIFLOR,Profeco_010101_arbol,data20220712
105,0824,DURAZNO,Profeco_010101_arbol,data20220712
106,0863,EJOTE,Profeco_010101_arbol,data20220712
107,0864,ELOTE,Profeco_010101_arbol,data20220712
108,0866,ESPINACAS,Profeco_010101_arbol,data20220712
109,0803,FRESA,Profeco_010101_arbol,data20220712
110,0804,GUAYABA,Profeco_010101_arbol,data20220712
111,0867,HONGOS CHAMPIÑONES,Profeco_010101_arbol,data20220712
112,9015,JAMAICA,Profeco_010101_arbol,data20220712
113,9017,JICAMA,Profeco_010101_arbol,data20220712
114,0869,JITOMATE,Profeco_010101_arbol,data20220712
115,0826,KIWI,Profeco_010101_arbol,data20220712
116,0870,LECHUGA,Profeco_010101_arbol,data20220712
117,0806,LIMON,Profeco_010101_arbol,data20220712
118,0807,MAMEY,Profeco_010101_arbol,data20220712
119,0809,MANGO,Profeco_010101_arbol,data20220712
120,0810,MANZANA,Profeco_010101_arbol,data20220712
121,0811,MELON,Profeco_010101_arbol,data20220712
122,0812,NARANJA,Profeco_010101_arbol,data20220712
123,0871,NOPAL,Profeco_010101_arbol,data20220712
124,0872,PAPA,Profeco_010101_arbol,data20220712
125,0813,PAPAYA,Profeco_010101_arbol,data20220712
126,0873,PEPINO,Profeco_010101_arbol,data20220712
127,0814,PERA,Profeco_010101_arbol,data20220712
128,0827,PERON,Profeco_010101_arbol,data20220712
129,0874,PIMIENTO,Profeco_010101_arbol,data20220712
130,0816,PLATANO,Profeco_010101_arbol,data20220712
131,0875,RABANO,Profeco_010101_arbol,data20220712
132,0817,SANDIA,Profeco_010101_arbol,data20220712
133,9028,TAMARINDO,Profeco_010101_arbol,data20220712
134,0877,TOMATE,Profeco_010101_arbol,data20220712
135,0820,TORONJA,Profeco_010101_arbol,data20220712
136,0821,TUNA,Profeco_010101_arbol,data20220712
137,0822,UVA,Profeco_010101_arbol,data20220712
138,0879,ZANAHORIA,Profeco_010101_arbol,data20220712
139,"# HARINAS, CEREALES, TORTILLAS Y HUEVO",,Profeco_010101_arbol,data20220712
140,# CEREALES PREPARADOS,,Profeco_010101_arbol,data20220712
141,0025,CHOCO KRISPIS,Profeco_010101_arbol,data20220712
142,0024,CORN FLAKES,Profeco_010101_arbol,data20220712
143,0026,ZUCARITAS,Profeco_010101_arbol,data20220712
144,# HUEVO,,Profeco_010101_arbol,data20220712
145,0165,HUEVO,Profeco_010101_arbol,data20220712
146,# PAN Y DERIVADOS DEL TRIGO,,Profeco_010101_arbol,data20220712
147,0207,BARRAS DE AVENA,Profeco_010101_arbol,data20220712
148,0208,BARRAS DE CEREAL,Profeco_010101_arbol,data20220712
149,0022,HARINA DE ARROZ,Profeco_010101_arbol,data20220712
150,0011,HARINA DE TRIGO,Profeco_010101_arbol,data20220712
151,0012,HARINA HOT CAKES,Profeco_010101_arbol,data20220712
152,0005,PAN BLANCO BOLILLO,Profeco_010101_arbol,data20220712
153,0006,PAN DE CAJA,Profeco_010101_arbol,data20220712
154,0201,PAN DULCE BISQUET,Profeco_010101_arbol,data20220712
155,0202,PAN DULCE CONCHA,Profeco_010101_arbol,data20220712
156,0203,PAN DULCE CUERNO,Profeco_010101_arbol,data20220712
157,0204,PAN DULCE DONA,Profeco_010101_arbol,data20220712
158,0008,PASTELILLOS Y PAN DULCE EMPAQUETADO,Profeco_010101_arbol,data20220712
159,0004,TORTILLA DE HARINA DE TRIGO,Profeco_010101_arbol,data20220712
160,# TORTILLAS Y DERIVADOS DEL MAIZ,,Profeco_010101_arbol,data20220712
161,0001,HARINA DE MAIZ,Profeco_010101_arbol,data20220712
162,0002,TORTILLA DE MAIZ,Profeco_010101_arbol,data20220712
163,"# LACTEOS, SALCHICHONERIA Y PRODUCTOS EN REFRIG.",,Profeco_010101_arbol,data20220712
164,# LACTEOS,,Profeco_010101_arbol,data20220712
165,0145,CREMA,Profeco_010101_arbol,data20220712
166,0162,FORMULA LACTEA,Profeco_010101_arbol,data20220712
167,0143,LECHE CONDENSADA,Profeco_010101_arbol,data20220712
168,0141,LECHE EN POLVO,Profeco_010101_arbol,data20220712
169,0161,LECHE ULTRAPASTEURIZADA,Profeco_010101_arbol,data20220712
170,0164,PRODUCTO LACTEO,Profeco_010101_arbol,data20220712
171,0149,QUESO MANCHEGO,Profeco_010101_arbol,data20220712
172,0150,QUESO OAXACA,Profeco_010101_arbol,data20220712
173,0153,QUESO PANELA,Profeco_010101_arbol,data20220712
174,0160,YOGHURT,Profeco_010101_arbol,data20220712
175,# PRODUCTOS EN REFRIGERACION,,Profeco_010101_arbol,data20220712
176,0929,COMBINADO PRIMAVERA,Profeco_010101_arbol,data20220712
177,0928,FLORETES DE BROCOLI,Profeco_010101_arbol,data20220712
178,0919,GRANOS DE ELOTE,Profeco_010101_arbol,data20220712
179,0920,GUARNICION DE VERDURAS,Profeco_010101_arbol,data20220712
180,0050,HELADO,Profeco_010101_arbol,data20220712
181,0003,MAIZ POZOLERO,Profeco_010101_arbol,data20220712
182,0922,MEZCLA CALIFORNIA,Profeco_010101_arbol,data20220712
183,0923,MEZCLA CAMPESINA,Profeco_010101_arbol,data20220712
184,# SALCHICHONERIA,,Profeco_010101_arbol,data20220712
185,0082,CHORIZO,Profeco_010101_arbol,data20220712
186,0080,JAMON,Profeco_010101_arbol,data20220712
187,0086,LONGANIZA,Profeco_010101_arbol,data20220712
188,0084,MORTADELA,Profeco_010101_arbol,data20220712
189,0087,PASTEL PIMIENTO,Profeco_010101_arbol,data20220712
190,0085,QUESO DE PUERCO,Profeco_010101_arbol,data20220712
191,0083,SALCHICHA,Profeco_010101_arbol,data20220712
192,0081,TOCINO AHUMADO,Profeco_010101_arbol,data20220712
193,# POLLO ROSTIZADO,,Profeco_010101_arbol,data20220712
194,# POLLO ROSTIZADO,,Profeco_010101_arbol,data20220712
195,0205,POLLO ROSTIZADO TRADICIONAL,Profeco_010101_arbol,data20220712
196,"# SEMILLAS, LEGUMINOSAS, CHILES Y ESPECIES",,Profeco_010101_arbol,data20220712
197,"# ESPECIES, CHILES Y CAMARONES SECOS",,Profeco_010101_arbol,data20220712
198,9007,CANELA,Profeco_010101_arbol,data20220712
199,0900,CHILE SECO,Profeco_010101_arbol,data20220712
200,0999,VAINILLA,Profeco_010101_arbol,data20220712
201,# SEMILLAS Y LEGUMINOSAS,,Profeco_010101_arbol,data20220712
202,0020,ARROZ,Profeco_010101_arbol,data20220712
203,0901,FRIJOL,Profeco_010101_arbol,data20220712
204,0902,GARBANZA,Profeco_010101_arbol,data20220712
205,0904,LENTEJA,Profeco_010101_arbol,data20220712
206,# ARTICULOS DE HIGIENE PERSONAL,,Profeco_010101_arbol,data20220712
207,# ARTICULOS DE HIGIENE PERSONAL,,Profeco_010101_arbol,data20220712
208,# ARTICULOS DE HIGIENE PERSONAL,,Profeco_010101_arbol,data20220712
209,2760,ACONDICIONADOR Y ENJUAGUE,Profeco_010101_arbol,data20220712
210,2767,CEPILLO DENTAL,Profeco_010101_arbol,data20220712
211,2750,CREMA DENTAL,Profeco_010101_arbol,data20220712
212,2751,CREMA LIQUIDA,Profeco_010101_arbol,data20220712
213,2752,CREMA SOLIDA,Profeco_010101_arbol,data20220712
214,2753,DESODORANTE,Profeco_010101_arbol,data20220712
215,2774,ESPUMA DE AFEITAR,Profeco_010101_arbol,data20220712
216,2754,JABON DE TOCADOR,Profeco_010101_arbol,data20220712
217,2766,PANTIPROTECTOR,Profeco_010101_arbol,data20220712
218,2801,PAÑALES DESECHABLES,Profeco_010101_arbol,data20220712
219,2770,PRODUCTO PARA DEPILACION,Profeco_010101_arbol,data20220712
220,2756,RASTRILLOS DESECHABLES,Profeco_010101_arbol,data20220712
221,2757,REPUESTOS DE NAVAJAS,Profeco_010101_arbol,data20220712
222,2771,ROPA INTERIOR DESECHABLE,Profeco_010101_arbol,data20220712
223,2758,SHAMPOO,Profeco_010101_arbol,data20220712
224,2761,SHAMPOO PARA BEBES Y NIÑOS,Profeco_010101_arbol,data20220712
225,2765,TALCO,Profeco_010101_arbol,data20220712
226,2807,TAMPONES,Profeco_010101_arbol,data20220712
227,2759,TINTE PARA EL CABELLO,Profeco_010101_arbol,data20220712
228,2803,TOALLA FEMENINA,Profeco_010101_arbol,data20220712
229,2804,TOALLITA HUMEDA LIMPIADORA,Profeco_010101_arbol,data20220712
230,# ARTICULOS DE LIMPIEZA Y PARA EL HOGAR,,Profeco_010101_arbol,data20220712
231,# ARTICULOS DE LIMPIEZA Y PARA EL HOGAR,,Profeco_010101_arbol,data20220712
232,# ARTICULOS DE LIMPIEZA Y PARA EL HOGAR,,Profeco_010101_arbol,data20220712
233,1100,BLANQUEADOR,Profeco_010101_arbol,data20220712
234,1101,DETERGENTE P/ROPA,Profeco_010101_arbol,data20220712
235,1102,DETERGENTE P/TRASTES,Profeco_010101_arbol,data20220712
236,1108,DETERGENTE PARA ROPA Y TRASTES,Profeco_010101_arbol,data20220712
237,1109,FIBRA,Profeco_010101_arbol,data20220712
238,1104,INSECTICIDA AEROSOL,Profeco_010101_arbol,data20220712
239,1103,JABON LIMPIADOR,Profeco_010101_arbol,data20220712
240,1105,LIMPIADOR LIQUIDO P/PISO,Profeco_010101_arbol,data20220712
241,1071,PILAS ELECTRICAS,Profeco_010101_arbol,data20220712
242,1106,SUAVIZANTE P/ROPA,Profeco_010101_arbol,data20220712
243,2805,TOALLA DE PAPEL,Profeco_010101_arbol,data20220712
244,# ARTICULOS ESCOLARES,,Profeco_010101_arbol,data20220712
245,# ACCESORIOS ESCOLARES,,Profeco_010101_arbol,data20220712
246,# CINTA ADHESIVA,,Profeco_010101_arbol,data20220712
247,3054,CINTA ADHESIVA,Profeco_010101_arbol,data20220712
248,# COMPAS,,Profeco_010101_arbol,data20220712
249,3056,COMPAS,Profeco_010101_arbol,data20220712
250,# DESENGRAPADORA,,Profeco_010101_arbol,data20220712
251,3079,DESENGRAPADORA,Profeco_010101_arbol,data20220712
252,# GRAPAS,,Profeco_010101_arbol,data20220712
253,3080,GRAPAS,Profeco_010101_arbol,data20220712
254,# JUEGO DE GEOMETRIA,,Profeco_010101_arbol,data20220712
255,3065,JUEGO DE GEOMETRIA,Profeco_010101_arbol,data20220712
256,# LAPIZ ADHESIVO,,Profeco_010101_arbol,data20220712
257,3067,LAPIZ ADHESIVO,Profeco_010101_arbol,data20220712
258,# PEGAMENTO,,Profeco_010101_arbol,data20220712
259,3069,PEGAMENTO,Profeco_010101_arbol,data20220712
260,# PLASTILINA,,Profeco_010101_arbol,data20220712
261,3070,PLASTILINA,Profeco_010101_arbol,data20220712
262,# REGLAS,,Profeco_010101_arbol,data20220712
263,3075,REGLAS,Profeco_010101_arbol,data20220712
264,# TIJERAS,,Profeco_010101_arbol,data20220712
265,3077,TIJERAS,Profeco_010101_arbol,data20220712
266,# ARTICULOS DE ESCRITURA,,Profeco_010101_arbol,data20220712
267,# BICOLOR,,Profeco_010101_arbol,data20220712
