,121201,Acapulco,folder_id
0,10101,Aguascalientes,data20220905
1,292902,Apizaco,data20220905
2,40401,Campeche,data20220905
3,232301,Cancún,data20220905
4,80801,Chihuahua,data20220905
5,150901,Ciudad de México y área metropolitana,data20220905
6,80802,Ciudad Juárez,data20220905
7,171701,Cuernavaca,data20220905
8,252501,Culiacán,data20220905
9,101001,Durango,data20220905
10,141401,Guadalajara,data20220905
11,262601,Hermosillo,data20220905
12,30301,La Paz,data20220905
13,111101,León,data20220905
14,313101,Mérida,data20220905
15,191901,Monterrey,data20220905
16,161601,Morelia,data20220905
17,202001,Oaxaca,data20220905
18,303004,Orizaba,data20220905
19,131301,Pachuca,data20220905
20,232303,Playa del carmen,data20220905
21,212101,Puebla,data20220905
22,222201,Querétaro,data20220905
23,50501,Saltillo,data20220905
24,242401,San Luis Potosí,data20220905
25,282804,Tampico,data20220905
26,20201,Tijuana,data20220905
27,292901,Tlaxcala,data20220905
28,151501,Toluca,data20220905
29,70701,Tuxtla Gutiérrez,data20220905
30,303001,Veracruz,data20220905
31,272701,Villahermosa,data20220905
32,323201,Zacatecas,data20220905
