,121201,Acapulco,folder_id
0,10101,Aguascalientes,data20220726
1,292902,Apizaco,data20220726
2,40401,Campeche,data20220726
3,232301,Cancún,data20220726
4,80801,Chihuahua,data20220726
5,150901,Ciudad de México y área metropolitana,data20220726
6,80802,Ciudad Juárez,data20220726
7,171701,Cuernavaca,data20220726
8,252501,Culiacán,data20220726
9,101001,Durango,data20220726
10,141401,Guadalajara,data20220726
11,262601,Hermosillo,data20220726
12,30301,La Paz,data20220726
13,111101,León,data20220726
14,313101,Mérida,data20220726
15,191901,Monterrey,data20220726
16,161601,Morelia,data20220726
17,202001,Oaxaca,data20220726
18,303004,Orizaba,data20220726
19,131301,Pachuca,data20220726
20,232303,Playa del carmen,data20220726
21,212101,Puebla,data20220726
22,222201,Querétaro,data20220726
23,50501,Saltillo,data20220726
24,242401,San Luis Potosí,data20220726
25,282804,Tampico,data20220726
26,20201,Tijuana,data20220726
27,292901,Tlaxcala,data20220726
28,151501,Toluca,data20220726
29,70701,Tuxtla Gutiérrez,data20220726
30,303001,Veracruz,data20220726
31,272701,Villahermosa,data20220726
32,323201,Zacatecas,data20220726
