,# codigo,nombre,direccion,colonia,telefono,telefono2,estado,minicipio,codigopostal,profeco_tiendas_id,folder_id
0,20161,CREMERIA DE ALBA SUCURSAL CENTRAL DE ABASTO,"AV. MAHATMA GANDHI S/N. BLOCK C LOCAL 1 Y 2, INT. CENTR",CENTRAL DE ABASTO,4499711648,,Aguascalientes,Aguascalientes,20280.0,Profeco_010101_tiendas,data20220811
1,20098,TORTILLERIA LA PROVIDENCIA,"VIENA 111, ESQ. DINAMARCA",SAN MARCOS,(449)9940841,,Aguascalientes,Aguascalientes,20070.0,Profeco_010101_tiendas,data20220811
2,20008,WALMART SUCURSAL PLAZA GALERIAS,"INDEPENDENCIA 2351, CENTRO COMERCIAL GALERIAS",LA CONCEPCION,(449)9107001,,Aguascalientes,Aguascalientes,20128.0,Profeco_010101_tiendas,data20220811
3,20057,FARMACIA BENAVIDES SUCURSAL PASEO DE LA ASUNCION,"CONVENCION 710, ESQ. FUNDICION",OLIVARES SANTANA,(449)9127970,,Aguascalientes,Aguascalientes,20010.0,Profeco_010101_tiendas,data20220811
4,20158,FRANCO SOLO CALIDAD SUCURSAL CENTRAL DE ABASTO,"AV. MAHATMA GANDHI S/N. BLOCK H LOCAL 20, INT. CENTRAL",CENTRAL DE ABASTO,4499711338,,Aguascalientes,Aguascalientes,20280.0,Profeco_010101_tiendas,data20220811
5,20091,FARMACIA GUADALAJARA SUCURSAL DEL VALLE,"AGUASCALIENTES PTE. 908, ESQ. DINAMARCA",DEL VALLE 2A. SECCION,(449)9160658,,Aguascalientes,Aguascalientes,20080.0,Profeco_010101_tiendas,data20220811
6,20114,MEGA SORIANA SUCURSAL AGUASCALIENTES,"AGUASCALIENTES NTE. 802, ESQ. BLVD. A ZACATECAS",TROJES DE ALONSO,(449)9968877,,Aguascalientes,Aguascalientes,20116.0,Profeco_010101_tiendas,data20220811
7,20064,TONY SUPER PAPELERIAS,"LOPEZ MATEOS 101, ESQ. JOSE MARIA CHAVEZ",ZONA CENTRO,(449)9162069,,Aguascalientes,Aguascalientes,20000.0,Profeco_010101_tiendas,data20220811
8,20143,FARMACIA 5 DE MAYO,"BUENAVISTA 103, ENTRE ARELLANO Y PALO ALTO",OJO CALIENTE 1,(449)9701431,,Aguascalientes,Aguascalientes,20196.0,Profeco_010101_tiendas,data20220811
9,20125,TORTILLERIA HERNANDEZ,"OJO CALIENTE 1621, ESQ. PALO ALTO",OJO CALIENTE III,(449)9745137,,Aguascalientes,Aguascalientes,20190.0,Profeco_010101_tiendas,data20220811
10,20092,OFFICE DEPOT SUCURSAL JOSE MARIA CHAVEZ,"JOSE MARIA CHAVEZ 803, ENTRE REP. DE ECUADOR Y EPIFANIO",OBRAJE,(449)9188730,,Aguascalientes,Aguascalientes,20230.0,Profeco_010101_tiendas,data20220811
11,20100,TORTILLERIA SANTA FE DEL ENCINO,"COLON 645, ESQ. ALBA",EL ENCINO,(449)9167046,,Aguascalientes,Aguascalientes,20240.0,Profeco_010101_tiendas,data20220811
