,121201,Acapulco,folder_id
0,10101,Aguascalientes,data20220720
1,292902,Apizaco,data20220720
2,40401,Campeche,data20220720
3,232301,Cancún,data20220720
4,80801,Chihuahua,data20220720
5,150901,Ciudad de México y área metropolitana,data20220720
6,80802,Ciudad Juárez,data20220720
7,171701,Cuernavaca,data20220720
8,252501,Culiacán,data20220720
9,101001,Durango,data20220720
10,141401,Guadalajara,data20220720
11,262601,Hermosillo,data20220720
12,30301,La Paz,data20220720
13,111101,León,data20220720
14,313101,Mérida,data20220720
15,191901,Monterrey,data20220720
16,161601,Morelia,data20220720
17,202001,Oaxaca,data20220720
18,303004,Orizaba,data20220720
19,131301,Pachuca,data20220720
20,232303,Playa del carmen,data20220720
21,212101,Puebla,data20220720
22,222201,Querétaro,data20220720
23,50501,Saltillo,data20220720
24,242401,San Luis Potosí,data20220720
25,282804,Tampico,data20220720
26,20201,Tijuana,data20220720
27,292901,Tlaxcala,data20220720
28,151501,Toluca,data20220720
29,70701,Tuxtla Gutiérrez,data20220720
30,303001,Veracruz,data20220720
31,272701,Villahermosa,data20220720
32,323201,Zacatecas,data20220720
