,location=121201;status=done,folder_id
0,location=010101;status=done,data20220622
1,location=292902;status=done,data20220622
2,location=040401;status=done,data20220622
3,location=232301;status=done,data20220622
4,location=080801;status=done,data20220622
5,location=150901;status=done,data20220622
6,location=080802;status=done,data20220622
7,location=171701;status=done,data20220622
8,location=252501;status=done,data20220622
9,location=101001;status=done,data20220622
10,location=141401;status=done,data20220622
11,location=262601;status=done,data20220622
12,location=030301;status=done,data20220622
13,location=111101;status=done,data20220622
14,location=313101;status=done,data20220622
15,location=191901;status=done,data20220622
16,location=161601;status=done,data20220622
17,location=202001;status=done,data20220622
18,location=303004;status=done,data20220622
19,location=131301;status=done,data20220622
20,location=232303;status=done,data20220622
21,location=212101;status=done,data20220622
22,location=222201;status=done,data20220622
23,location=050501;status=done,data20220622
24,location=242401;status=done,data20220622
25,location=282804;status=done,data20220622
26,location=020201;status=done,data20220622
27,location=292901;status=done,data20220622
28,location=151501;status=done,data20220622
29,location=070701;status=done,data20220622
30,location=303001;status=done,data20220622
31,location=272701;status=done,data20220622
32,location=323201;status=done,data20220622
