,location=121201;status=done,folder_id
0,location=010101;status=done,data20220726
1,location=292902;status=done,data20220726
2,location=040401;status=done,data20220726
3,location=232301;status=done,data20220726
4,location=080801;status=done,data20220726
5,location=150901;status=done,data20220726
6,location=080802;status=done,data20220726
7,location=171701;status=done,data20220726
8,location=252501;status=done,data20220726
9,location=101001;status=done,data20220726
10,location=141401;status=done,data20220726
11,location=262601;status=done,data20220726
12,location=030301;status=done,data20220726
13,location=111101;status=done,data20220726
14,location=313101;status=done,data20220726
15,location=191901;status=done,data20220726
16,location=161601;status=done,data20220726
17,location=202001;status=done,data20220726
18,location=303004;status=done,data20220726
19,location=131301;status=done,data20220726
20,location=232303;status=done,data20220726
21,location=212101;status=done,data20220726
22,location=222201;status=done,data20220726
23,location=050501;status=done,data20220726
24,location=242401;status=done,data20220726
25,location=282804;status=done,data20220726
26,location=020201;status=done,data20220726
27,location=292901;status=done,data20220726
28,location=151501;status=done,data20220726
29,location=070701;status=done,data20220726
30,location=303001;status=done,data20220726
31,location=272701;status=done,data20220726
32,location=323201;status=done,data20220726
