,121201,Acapulco,folder_id
0,10101,Aguascalientes,data20220712
1,292902,Apizaco,data20220712
2,40401,Campeche,data20220712
3,232301,Cancún,data20220712
4,80801,Chihuahua,data20220712
5,150901,Ciudad de México y área metropolitana,data20220712
6,80802,Ciudad Juárez,data20220712
7,171701,Cuernavaca,data20220712
8,252501,Culiacán,data20220712
9,101001,Durango,data20220712
10,141401,Guadalajara,data20220712
11,262601,Hermosillo,data20220712
12,30301,La Paz,data20220712
13,111101,León,data20220712
14,313101,Mérida,data20220712
15,191901,Monterrey,data20220712
16,161601,Morelia,data20220712
17,202001,Oaxaca,data20220712
18,303004,Orizaba,data20220712
19,131301,Pachuca,data20220712
20,232303,Playa del carmen,data20220712
21,212101,Puebla,data20220712
22,222201,Querétaro,data20220712
23,50501,Saltillo,data20220712
24,242401,San Luis Potosí,data20220712
25,282804,Tampico,data20220712
26,20201,Tijuana,data20220712
27,292901,Tlaxcala,data20220712
28,151501,Toluca,data20220712
29,70701,Tuxtla Gutiérrez,data20220712
30,303001,Veracruz,data20220712
31,272701,Villahermosa,data20220712
32,323201,Zacatecas,data20220712
