,# codigo,descripcion,tipo_arbol,folder_id
0,# ALIMENTOS,,Profeco_010101_arbol,data20220720
1,"# ACEITES, GRASAS Y VINAGRES",,Profeco_010101_arbol,data20220720
2,# ACEITES Y GRASAS,,Profeco_010101_arbol,data20220720
3,0166,ACEITE,Profeco_010101_arbol,data20220720
4,9000,ACEITE DE OLIVA,Profeco_010101_arbol,data20220720
5,9002,ALCAPARRA,Profeco_010101_arbol,data20220720
6,0170,GRASA COMESTIBLE,Profeco_010101_arbol,data20220720
7,0172,MANTECA DE CERDO,Profeco_010101_arbol,data20220720
8,0147,MANTEQUILLA,Profeco_010101_arbol,data20220720
9,0171,MARGARINA,Profeco_010101_arbol,data20220720
10,# VINAGRES,,Profeco_010101_arbol,data20220720
11,0983,VINAGRE,Profeco_010101_arbol,data20220720
12,# ALIMENTOS EN LATA Y PROCESADOS,,Profeco_010101_arbol,data20220720
13,# ALIMENTOS EN LATA Y PROCESADOS,,Profeco_010101_arbol,data20220720
14,9001,ACEITUNA,Profeco_010101_arbol,data20220720
15,0935,ALIMENTO PREPARADO PARA NIÑOS,Profeco_010101_arbol,data20220720
16,0136,ATUN,Profeco_010101_arbol,data20220720
17,0917,CHICHAROS EN LATA,Profeco_010101_arbol,data20220720
18,0915,CHILES,Profeco_010101_arbol,data20220720
19,0956,COCTEL DE FRUTAS EN ALMIBAR,Profeco_010101_arbol,data20220720
20,0970,CONCENTRADO DE POLLO,Profeco_010101_arbol,data20220720
21,0951,DURAZNOS EN ALMIBAR,Profeco_010101_arbol,data20220720
22,0864,ELOTE,Profeco_010101_arbol,data20220720
23,0931,FRIJOLES,Profeco_010101_arbol,data20220720
24,0971,MAYONESA,Profeco_010101_arbol,data20220720
25,0972,MOLE ROJO EN PASTA,Profeco_010101_arbol,data20220720
26,0973,MOSTAZA,Profeco_010101_arbol,data20220720
27,0013,PAPAS FRITAS Y SIMILARES,Profeco_010101_arbol,data20220720
28,0014,PASTA PARA SOPA,Profeco_010101_arbol,data20220720
29,0952,PIÑA EN ALMIBAR,Profeco_010101_arbol,data20220720
30,0916,PURE DE TOMATE,Profeco_010101_arbol,data20220720
31,0978,SALSA DE SOYA,Profeco_010101_arbol,data20220720
32,0976,SALSA INGLESA,Profeco_010101_arbol,data20220720
33,0977,SALSA PICANTE,Profeco_010101_arbol,data20220720
34,0137,SARDINA,Profeco_010101_arbol,data20220720
35,0303,SOPA INSTANTANEA,Profeco_010101_arbol,data20220720
36,"# AZUCAR, ENDULZANTES Y CAFE",,Profeco_010101_arbol,data20220720
37,"# AZUCAR, ENDULZANTES Y CAFE",,Profeco_010101_arbol,data20220720
38,0960,AZUCAR,Profeco_010101_arbol,data20220720
39,0961,CAFE SOLUBLE,Profeco_010101_arbol,data20220720
40,0962,CAFE TOSTADO Y MOLIDO,Profeco_010101_arbol,data20220720
41,0991,CHOCOLATE EN TABLILLAS,Profeco_010101_arbol,data20220720
42,0998,JARABE PARA PREPARAR BEBIDAS,Profeco_010101_arbol,data20220720
43,0950,MERMELADA,Profeco_010101_arbol,data20220720
44,0996,MIEL DE ABEJA,Profeco_010101_arbol,data20220720
45,0990,POLVO PARA BEBIDAS SABOR CHOCOLATE,Profeco_010101_arbol,data20220720
46,# POSTRES PARA PREPARAR,,Profeco_010101_arbol,data20220720
47,0994,FLAN,Profeco_010101_arbol,data20220720
48,0995,GELATINA EN POLVO,Profeco_010101_arbol,data20220720
49,0984,POLVO P/HORNEAR,Profeco_010101_arbol,data20220720
50,# BEBIDAS,,Profeco_010101_arbol,data20220720
51,# BEBIDAS ALCOHOLICAS,,Profeco_010101_arbol,data20220720
52,1000,BRANDY,Profeco_010101_arbol,data20220720
53,1001,CERVEZA,Profeco_010101_arbol,data20220720
54,1005,TEQUILA,Profeco_010101_arbol,data20220720
55,# BEBIDAS NO ALCOHOLICAS,,Profeco_010101_arbol,data20220720
56,0964,AGUA CON GAS,Profeco_010101_arbol,data20220720
57,0965,AGUA SIN GAS,Profeco_010101_arbol,data20220720
58,0968,BEBIDAS HIDRATANTES,Profeco_010101_arbol,data20220720
59,0967,JUGO DE FRUTA,Profeco_010101_arbol,data20220720
60,0966,REFRESCO,Profeco_010101_arbol,data20220720
61,"# CARNE, POLLO Y PESCADO",,Profeco_010101_arbol,data20220720
62,# CARNE DE CERDO,,Profeco_010101_arbol,data20220720
63,0044,CABEZA DE CERDO,Profeco_010101_arbol,data20220720
64,0049,CARNE MOLIDA DE CERDO,Profeco_010101_arbol,data20220720
65,0041,CHULETA DE CERDO,Profeco_010101_arbol,data20220720
66,0045,ESPINAZO DE CERDO,Profeco_010101_arbol,data20220720
67,0043,LOMO DE CERDO,Profeco_010101_arbol,data20220720
68,0046,MANITAS DE CERDO,Profeco_010101_arbol,data20220720
69,0042,MILANESA DE CERDO,Profeco_010101_arbol,data20220720
70,0047,PIERNA DE CERDO ENTERA/PERNIL,Profeco_010101_arbol,data20220720
71,# CARNE DE POLLO Y PAVO,,Profeco_010101_arbol,data20220720
72,0032,PECHUGA DE POLLO,Profeco_010101_arbol,data20220720
73,0033,PIERNA DE POLLO,Profeco_010101_arbol,data20220720
74,0031,POLLO ENTERO,Profeco_010101_arbol,data20220720
75,# CARNE DE RES,,Profeco_010101_arbol,data20220720
76,0069,BISTEC DE DIEZMILLO DE RES,Profeco_010101_arbol,data20220720
77,0071,BISTEC DE RES. CORTE DELGADO,Profeco_010101_arbol,data20220720
78,0070,BISTEC DEL 0,Profeco_010101_arbol,data20220720
79,0072,BISTEC RANCHERO,Profeco_010101_arbol,data20220720
80,0059,CARNE MOLIDA DE RES,Profeco_010101_arbol,data20220720
81,0052,CARNE PARA ASAR DE RES,Profeco_010101_arbol,data20220720
82,0061,CHULETA DE RES/CHULETA COSTILLA/CHULETON,Profeco_010101_arbol,data20220720
83,0060,FALDA DE RES,Profeco_010101_arbol,data20220720
84,0053,FILETE DE RES,Profeco_010101_arbol,data20220720
85,0064,HIGADO DE RES,Profeco_010101_arbol,data20220720
86,0077,MILANESA DE RES,Profeco_010101_arbol,data20220720
87,0066,PANZA O MENUDO DE RES,Profeco_010101_arbol,data20220720
88,0063,RETAZO C/HUESO DE RES,Profeco_010101_arbol,data20220720
89,# FRUTAS Y VERDURAS FRESCAS,,Profeco_010101_arbol,data20220720
90,# FRUTAS Y VERDURAS FRESCAS,,Profeco_010101_arbol,data20220720
91,0850,ACELGA,Profeco_010101_arbol,data20220720
92,0800,AGUACATE,Profeco_010101_arbol,data20220720
93,0851,AJO,Profeco_010101_arbol,data20220720
94,0852,ALCACHOFA,Profeco_010101_arbol,data20220720
95,0853,APIO,Profeco_010101_arbol,data20220720
96,0854,BETABEL,Profeco_010101_arbol,data20220720
97,0855,BROCOLI,Profeco_010101_arbol,data20220720
98,0856,CALABAZA,Profeco_010101_arbol,data20220720
99,0857,CEBOLLA,Profeco_010101_arbol,data20220720
100,0858,CHAYOTE,Profeco_010101_arbol,data20220720
101,0859,CHICHAROS,Profeco_010101_arbol,data20220720
102,0860,CHILE FRESCO,Profeco_010101_arbol,data20220720
103,0868,CILANTRO,Profeco_010101_arbol,data20220720
104,0802,CIRUELA,Profeco_010101_arbol,data20220720
105,0861,COL,Profeco_010101_arbol,data20220720
106,0862,COLIFLOR,Profeco_010101_arbol,data20220720
107,0824,DURAZNO,Profeco_010101_arbol,data20220720
108,0863,EJOTE,Profeco_010101_arbol,data20220720
109,0864,ELOTE,Profeco_010101_arbol,data20220720
110,0866,ESPINACAS,Profeco_010101_arbol,data20220720
111,0803,FRESA,Profeco_010101_arbol,data20220720
112,0804,GUAYABA,Profeco_010101_arbol,data20220720
113,0867,HONGOS CHAMPIÑONES,Profeco_010101_arbol,data20220720
114,9015,JAMAICA,Profeco_010101_arbol,data20220720
115,9017,JICAMA,Profeco_010101_arbol,data20220720
116,0869,JITOMATE,Profeco_010101_arbol,data20220720
117,0826,KIWI,Profeco_010101_arbol,data20220720
118,0870,LECHUGA,Profeco_010101_arbol,data20220720
119,0806,LIMON,Profeco_010101_arbol,data20220720
120,0807,MAMEY,Profeco_010101_arbol,data20220720
121,0808,MANDARINA,Profeco_010101_arbol,data20220720
122,0809,MANGO,Profeco_010101_arbol,data20220720
123,0810,MANZANA,Profeco_010101_arbol,data20220720
124,0811,MELON,Profeco_010101_arbol,data20220720
125,0812,NARANJA,Profeco_010101_arbol,data20220720
126,0871,NOPAL,Profeco_010101_arbol,data20220720
127,0872,PAPA,Profeco_010101_arbol,data20220720
128,0813,PAPAYA,Profeco_010101_arbol,data20220720
129,0873,PEPINO,Profeco_010101_arbol,data20220720
130,0814,PERA,Profeco_010101_arbol,data20220720
131,0827,PERON,Profeco_010101_arbol,data20220720
132,0874,PIMIENTO,Profeco_010101_arbol,data20220720
133,0816,PLATANO,Profeco_010101_arbol,data20220720
134,0875,RABANO,Profeco_010101_arbol,data20220720
135,0817,SANDIA,Profeco_010101_arbol,data20220720
136,9028,TAMARINDO,Profeco_010101_arbol,data20220720
137,0877,TOMATE,Profeco_010101_arbol,data20220720
138,0820,TORONJA,Profeco_010101_arbol,data20220720
139,0821,TUNA,Profeco_010101_arbol,data20220720
140,0822,UVA,Profeco_010101_arbol,data20220720
141,0879,ZANAHORIA,Profeco_010101_arbol,data20220720
142,"# HARINAS, CEREALES, TORTILLAS Y HUEVO",,Profeco_010101_arbol,data20220720
143,# CEREALES PREPARADOS,,Profeco_010101_arbol,data20220720
144,0025,CHOCO KRISPIS,Profeco_010101_arbol,data20220720
