,# codigo,descripcion,tipo_arbol,folder_id
0,# ALIMENTOS,,Profeco_010101_arbol,data20220628
1,"# ACEITES, GRASAS Y VINAGRES",,Profeco_010101_arbol,data20220628
2,# ACEITES Y GRASAS,,Profeco_010101_arbol,data20220628
3,0166,ACEITE,Profeco_010101_arbol,data20220628
4,9000,ACEITE DE OLIVA,Profeco_010101_arbol,data20220628
5,9002,ALCAPARRA,Profeco_010101_arbol,data20220628
6,0170,GRASA COMESTIBLE,Profeco_010101_arbol,data20220628
7,0172,MANTECA DE CERDO,Profeco_010101_arbol,data20220628
8,0147,MANTEQUILLA,Profeco_010101_arbol,data20220628
9,0171,MARGARINA,Profeco_010101_arbol,data20220628
10,# VINAGRES,,Profeco_010101_arbol,data20220628
11,0983,VINAGRE,Profeco_010101_arbol,data20220628
12,# ALIMENTOS EN LATA Y PROCESADOS,,Profeco_010101_arbol,data20220628
13,# ALIMENTOS EN LATA Y PROCESADOS,,Profeco_010101_arbol,data20220628
14,9001,ACEITUNA,Profeco_010101_arbol,data20220628
15,0935,ALIMENTO PREPARADO PARA NIÑOS,Profeco_010101_arbol,data20220628
16,0136,ATUN,Profeco_010101_arbol,data20220628
17,0917,CHICHAROS EN LATA,Profeco_010101_arbol,data20220628
18,0915,CHILES,Profeco_010101_arbol,data20220628
19,0956,COCTEL DE FRUTAS EN ALMIBAR,Profeco_010101_arbol,data20220628
20,0970,CONCENTRADO DE POLLO,Profeco_010101_arbol,data20220628
21,0951,DURAZNOS EN ALMIBAR,Profeco_010101_arbol,data20220628
22,0864,ELOTE,Profeco_010101_arbol,data20220628
23,0931,FRIJOLES,Profeco_010101_arbol,data20220628
24,0971,MAYONESA,Profeco_010101_arbol,data20220628
25,0972,MOLE ROJO EN PASTA,Profeco_010101_arbol,data20220628
26,0973,MOSTAZA,Profeco_010101_arbol,data20220628
27,0013,PAPAS FRITAS Y SIMILARES,Profeco_010101_arbol,data20220628
28,0014,PASTA PARA SOPA,Profeco_010101_arbol,data20220628
29,0952,PIÑA EN ALMIBAR,Profeco_010101_arbol,data20220628
30,0916,PURE DE TOMATE,Profeco_010101_arbol,data20220628
31,0978,SALSA DE SOYA,Profeco_010101_arbol,data20220628
32,0976,SALSA INGLESA,Profeco_010101_arbol,data20220628
33,0977,SALSA PICANTE,Profeco_010101_arbol,data20220628
34,0137,SARDINA,Profeco_010101_arbol,data20220628
35,0303,SOPA INSTANTANEA,Profeco_010101_arbol,data20220628
36,"# AZUCAR, ENDULZANTES Y CAFE",,Profeco_010101_arbol,data20220628
37,"# AZUCAR, ENDULZANTES Y CAFE",,Profeco_010101_arbol,data20220628
38,0960,AZUCAR,Profeco_010101_arbol,data20220628
39,0961,CAFE SOLUBLE,Profeco_010101_arbol,data20220628
40,0962,CAFE TOSTADO Y MOLIDO,Profeco_010101_arbol,data20220628
41,0991,CHOCOLATE EN TABLILLAS,Profeco_010101_arbol,data20220628
42,0998,JARABE PARA PREPARAR BEBIDAS,Profeco_010101_arbol,data20220628
43,0950,MERMELADA,Profeco_010101_arbol,data20220628
44,0996,MIEL DE ABEJA,Profeco_010101_arbol,data20220628
45,0990,POLVO PARA BEBIDAS SABOR CHOCOLATE,Profeco_010101_arbol,data20220628
46,# POSTRES PARA PREPARAR,,Profeco_010101_arbol,data20220628
47,0994,FLAN,Profeco_010101_arbol,data20220628
48,0995,GELATINA EN POLVO,Profeco_010101_arbol,data20220628
49,0984,POLVO P/HORNEAR,Profeco_010101_arbol,data20220628
50,# BEBIDAS,,Profeco_010101_arbol,data20220628
51,# BEBIDAS ALCOHOLICAS,,Profeco_010101_arbol,data20220628
52,1000,BRANDY,Profeco_010101_arbol,data20220628
53,1001,CERVEZA,Profeco_010101_arbol,data20220628
54,1005,TEQUILA,Profeco_010101_arbol,data20220628
55,# BEBIDAS NO ALCOHOLICAS,,Profeco_010101_arbol,data20220628
56,0964,AGUA CON GAS,Profeco_010101_arbol,data20220628
57,0965,AGUA SIN GAS,Profeco_010101_arbol,data20220628
58,0968,BEBIDAS HIDRATANTES,Profeco_010101_arbol,data20220628
59,0967,JUGO DE FRUTA,Profeco_010101_arbol,data20220628
60,0966,REFRESCO,Profeco_010101_arbol,data20220628
61,"# CARNE, POLLO Y PESCADO",,Profeco_010101_arbol,data20220628
62,# CARNE DE CERDO,,Profeco_010101_arbol,data20220628
63,0044,CABEZA DE CERDO,Profeco_010101_arbol,data20220628
64,0049,CARNE MOLIDA DE CERDO,Profeco_010101_arbol,data20220628
65,0041,CHULETA DE CERDO,Profeco_010101_arbol,data20220628
66,0045,ESPINAZO DE CERDO,Profeco_010101_arbol,data20220628
67,0043,LOMO DE CERDO,Profeco_010101_arbol,data20220628
68,0046,MANITAS DE CERDO,Profeco_010101_arbol,data20220628
69,0042,MILANESA DE CERDO,Profeco_010101_arbol,data20220628
