,121201,Acapulco,folder_id
0,10101,Aguascalientes,data20220628
1,292902,Apizaco,data20220628
2,40401,Campeche,data20220628
3,232301,Cancún,data20220628
4,80801,Chihuahua,data20220628
5,150901,Ciudad de México y área metropolitana,data20220628
6,80802,Ciudad Juárez,data20220628
7,171701,Cuernavaca,data20220628
8,252501,Culiacán,data20220628
9,101001,Durango,data20220628
10,141401,Guadalajara,data20220628
11,262601,Hermosillo,data20220628
12,30301,La Paz,data20220628
13,111101,León,data20220628
14,313101,Mérida,data20220628
15,191901,Monterrey,data20220628
16,161601,Morelia,data20220628
17,202001,Oaxaca,data20220628
18,303004,Orizaba,data20220628
19,131301,Pachuca,data20220628
20,232303,Playa del carmen,data20220628
21,212101,Puebla,data20220628
22,222201,Querétaro,data20220628
23,50501,Saltillo,data20220628
24,242401,San Luis Potosí,data20220628
25,282804,Tampico,data20220628
26,20201,Tijuana,data20220628
27,292901,Tlaxcala,data20220628
28,151501,Toluca,data20220628
29,70701,Tuxtla Gutiérrez,data20220628
30,303001,Veracruz,data20220628
31,272701,Villahermosa,data20220628
32,323201,Zacatecas,data20220628
