,location=121201;status=done,folder_id
0,location=010101;status=done,data20220811
1,location=292902;status=done,data20220811
2,location=040401;status=done,data20220811
3,location=232301;status=done,data20220811
4,location=080801;status=done,data20220811
5,location=150901;status=done,data20220811
6,location=080802;status=done,data20220811
7,location=171701;status=done,data20220811
8,location=252501;status=done,data20220811
9,location=101001;status=done,data20220811
10,location=141401;status=done,data20220811
11,location=262601;status=done,data20220811
12,location=030301;status=done,data20220811
13,location=111101;status=done,data20220811
14,location=313101;status=done,data20220811
15,location=191901;status=done,data20220811
16,location=161601;status=done,data20220811
17,location=202001;status=done,data20220811
18,location=303004;status=done,data20220811
19,location=131301;status=done,data20220811
20,location=232303;status=done,data20220811
21,location=212101;status=done,data20220811
22,location=222201;status=done,data20220811
23,location=050501;status=done,data20220811
24,location=242401;status=done,data20220811
25,location=282804;status=done,data20220811
26,location=020201;status=done,data20220811
27,location=292901;status=done,data20220811
28,location=151501;status=done,data20220811
29,location=070701;status=done,data20220811
30,location=303001;status=done,data20220811
31,location=272701;status=done,data20220811
32,location=323201;status=done,data20220811
