,121201,Acapulco,folder_id
0,10101,Aguascalientes,data20220825
1,292902,Apizaco,data20220825
2,40401,Campeche,data20220825
3,232301,Cancún,data20220825
4,80801,Chihuahua,data20220825
5,150901,Ciudad de México y área metropolitana,data20220825
6,80802,Ciudad Juárez,data20220825
7,171701,Cuernavaca,data20220825
8,252501,Culiacán,data20220825
9,101001,Durango,data20220825
10,141401,Guadalajara,data20220825
11,262601,Hermosillo,data20220825
12,30301,La Paz,data20220825
13,111101,León,data20220825
14,313101,Mérida,data20220825
15,191901,Monterrey,data20220825
16,161601,Morelia,data20220825
17,202001,Oaxaca,data20220825
18,303004,Orizaba,data20220825
19,131301,Pachuca,data20220825
20,232303,Playa del carmen,data20220825
21,212101,Puebla,data20220825
22,222201,Querétaro,data20220825
23,50501,Saltillo,data20220825
24,242401,San Luis Potosí,data20220825
25,282804,Tampico,data20220825
26,20201,Tijuana,data20220825
27,292901,Tlaxcala,data20220825
28,151501,Toluca,data20220825
29,70701,Tuxtla Gutiérrez,data20220825
30,303001,Veracruz,data20220825
31,272701,Villahermosa,data20220825
32,323201,Zacatecas,data20220825
