,121201,Acapulco,folder_id
0,10101,Aguascalientes,data20220913
1,292902,Apizaco,data20220913
2,40401,Campeche,data20220913
3,232301,Cancún,data20220913
4,80801,Chihuahua,data20220913
5,150901,Ciudad de México y área metropolitana,data20220913
6,80802,Ciudad Juárez,data20220913
7,171701,Cuernavaca,data20220913
8,252501,Culiacán,data20220913
9,101001,Durango,data20220913
10,141401,Guadalajara,data20220913
11,262601,Hermosillo,data20220913
12,30301,La Paz,data20220913
13,111101,León,data20220913
14,313101,Mérida,data20220913
15,191901,Monterrey,data20220913
16,161601,Morelia,data20220913
17,202001,Oaxaca,data20220913
18,303004,Orizaba,data20220913
19,131301,Pachuca,data20220913
20,232303,Playa del carmen,data20220913
21,212101,Puebla,data20220913
22,222201,Querétaro,data20220913
23,50501,Saltillo,data20220913
24,242401,San Luis Potosí,data20220913
25,282804,Tampico,data20220913
26,20201,Tijuana,data20220913
27,292901,Tlaxcala,data20220913
28,151501,Toluca,data20220913
29,70701,Tuxtla Gutiérrez,data20220913
30,303001,Veracruz,data20220913
31,272701,Villahermosa,data20220913
32,323201,Zacatecas,data20220913
